je privila izpod mize bela kača z lepo krono na glavi,1
"lepega ptička. Ko se je kača najedla, je stresla lepo kronico",1
"v luknjo. Brž, ko je kača izginila, je mati skočila v",1
"rod, ki je z belo kačo prijazno in lepo ravnal.",1
"kmetica in je imela majhne otroke. Hodila je na polje delat,",1
"Hodila je na polje delat, otroke pa je puščala doma ter",1
"mati hvalila, dn so pridni. Otroci pa so rekli: - Saj",1
"ji je čudno zdelo, da otroci pripovedujejo o lepem belem ptičku.",1
"skrinjo, kjer so imeli prejo. Ded je pozimi prejo vil. Vso",1
"vse pojedli, zato jih je mati hvalila, dn so pridni. Otroci",1
"hodi tudi lep ptiček jest. Mati si je mislila, da prihaja",1
se zvila najmlajšemu v naročje. Mati je bila vsa trda od,1
"ko je kača izginila, je mati skočila v vežo in spravila",1
"močjo bodisi z zvijačo premagati zmaja, bo dobil ta stolp in",0
"in ves kraj, kjer gospoduje zmaj, bo zmagovalčeva last, če je",0
če je v bližini zaslišal zmajev glas. Vendar so morali poskusiti,0
"moč, in šli so nad zmaja. Vzamejo silnega bika in močan,",0
"mehko meso. Zdaj zgrabi ujeti zmaj ubogo žival z ostrimi kremplji,",0
"gričih. Veselo prepevaje je gnal pastir svojo čredo na pašo, toda",1
in vriskanje zadovoljnih in brezskrbnih pastirjev se je razlegalo po prijaznih,1
To je bilo težko vprašanje. Poglavar je najpogumnejšemu izmed svojih hlapcev,1
so šli na nevaren lov. Poglavar je namreč rekel: Kdor si,1
pa zaklenili njo in eno mačko; samo lino so ji odprto,0
"vselej, ko nogo vzdigne, skoči mačka na lino in začne tako",0
"Zato ne pusti, ker ima mačka v repu devet peklenskih vragov,",0
"vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga",0
"po njegovem svetu: dala je mački mesa, ji v hipu odrezala",0
"doli po zidu, vidi kosorepo mačko počasi in klavrno lesti po",0
"vršičkom dotikalo strehe, in videč mačko po drevesu priti do tal,",0
"domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj je to,",0
bi še kdaj prišla k očetu domov. Večkrat je mislila skozi,1
"mlada? jo nagovori dedec. K očetu bi šla rada, pravi deklica.",1
ona pritekla že blizu do očetovega doma. Oče njen je imel,1
"je klicala ter klicala, pa očeta ni bilo in že je",1
"sekiro, ki jo je bil oče ravno prejšnji dan nasadil, in",1
"prvemu. Ko je drugo jutro oče kovač prišel žalosten domov, je",1
"Tačas, ko so bili še pasjeglavci po teh krajih, je plela",0
