review,sentiment
"leta ampak je to isto leto? Najprej je bil samo Čas. In kadar ni $ presenetilo, da ga je po nesreči kar odgriznil. »Tpfej!« je Čas izpljunil rep iz $ odvrnil rep. »No, prav, potem me pa zabavaj!« je ukazal Čas. »To pa lahko,«",0
"so se na njem videle gubice. »Odslej mi je ime Leto,« je slovesno izjavil. $ izjavil. »Spoštovani Čas, vabim vas, da si ogledate moje dneve.« Leto se je spretno $ ogledal tristošestinpetdeset popolnoma enakih črno-belih dni, je začel nevljudno zehati. Leto se je ustavilo:",1
"za moža. - Še grofa ne maram, pa bi vzela ježa! se oglasi najstarejša $ mati reče sinu ježek, že se deček spremeni v ježka. Jež pa nima mesta $ sili k njej, ker hoče tudi on mesiti. -Beži no, ježek! Pravi mati nejevolna. $ je zgodilo tudi ob tej priliki. Komaj mati reče sinu ježek, že se deček $ Komaj mati reče sinu ježek, že se deček spremeni v ježka. Jež pa nima $ ježka. Jež pa nima mesta pri hiši. Zato je tudi ježek-Janček odšel v gozd, $ in sede prav pod ježevo hruško. Grof počiva pod hruško, ježek-Janček pa si prične $ ježek-Janček pa si prične lepo žvižgati. - Kaj pa ti, ježek? ga vpraša grof. $ Zakaj si tako vesel? - Lahko sem vesel, mu odgovori ježek-Janček, ker dobro vem, $ v tako plačilo, ker drugače ni mogel iz velikega gozda. Ježek mu pokaže pot $ gozda. Ježek mu pokaže pot prav do doma. Drugi dan Janček-ježek že navsezgodaj pred $ Prišel je na ogledi. - Dobro jutro! Dobro jutro! kriči Janček-ježek pred gradom. Po $ svojim hčerkam že prej naročil, kaj naj napravijo, če pride ježek. Zato hitro zapro $ vrata, odpro okna in opazujejo, kaj bo sedaj počel revček ježek. Na grajskem dvorišču $ skoči –smuk- na hrbet. Petelin se ustraši in zleti z ježkom vred na okno, $ stale grofove hčerke. - Halo gospodične grofičice, se oglasi zdaj ježek na oknu s $ voz iskre konje, hčerka nevesta sede na voz, vzame ženina Jančka-ježka na krilo in $ se odpeljejo k poroki. Komaj pa stopijo pred oltar se ježek-Janček strese in pri $ revček ježek. Na grajskem dvorišču se je sprehajal velik petelin. Ježek-Janček to vidi in",1
" Mati mesi kruh. Mali $ njej, ker hoče tudi on mesiti. -Beži no, ježek! Pravi mati nejevolna. V tistem $ dandanes. Tako se je zgodilo tudi ob tej priliki. Komaj mati reče sinu ježek,",1
"je bil grofovski grad. Zgodi pa se, da gre nekoč grof na lov in $ Slednjič ga zajame utrujenost in sede prav pod ježevo hruško. Grof počiva pod hruško, $ prične lepo žvižgati. - Kaj pa ti, ježek? ga vpraša grof. Zakaj si tako",0
"Še grofa ne maram, pa bi vzela ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, $ - Premlada si še za ženitev, prepusti ga meni, pravi najstarejša najmlajši sestrici nevesti.",0
"vzela ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, de druga in se smeje. $ - Jaz ga vzamem. Saj ti si še otrok, pristavi druga. Janček pa vesel",0
"vzamem za moža zato, ker si rešil mojega očeta, pravi najmlajša. Grof zapreže v",1
"na noč zahajali domov, podnevi pa zaklenili njo in eno mačko; samo lino so $ strehe skočiti na tla. Pa vselej, ko nogo vzdigne, skoči mačka na lino in $ žival ne pusti, pravi ona. Zato ne pusti, ker ima mačka v repu devet $ devet peklenskih vragov, ki so vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in $ kdaj ne kam. Storila je po njegovem svetu: dala je mački mesa, ji v $ vedela ne kam ne kod doli po zidu, vidi kosorepo mačko počasi in klavrno $ drevesa, ki se je z vršičkom dotikalo strehe, in videč mačko po drevesu priti $ je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj",0
"jokala in boga prosila, da bi še kdaj prišla k očetu domov. Večkrat je $ pred seboj. Kaj ti je mlada? jo nagovori dedec. K očetu bi šla rada, $ ubežno deklico. Medtem je bila ona pritekla že blizu do očetovega doma. Oče njen $ zato ni mogla noter. Dolgo je klicala ter klicala, pa očeta ni bilo in $ v roke pa vzame široko sekiro, ki jo je bil oče ravno prejšnji dan $ je vsakemu tako primerila kakor prvemu. Ko je drugo jutro oče kovač prišel žalosten",1
"še bili so ko Tačas, pasjeglavci po teh krajih, $ vrat. Tam notri ni videla žive duše in le včasih pasjeglavce, ki so na $ mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci zmenjeni. Daj mački $ še ona in srečno uteče. Noč se je bila storila; pasjeglavci pridejo domov in $ zaspati. Kar ji na misel pride: Morda bi me zasledili pasjeglavci in še huje $ si notri oddahne in luč naredi, kar zasliši zunaj govoriti pasjeglavce. Po sledu so $ luknji, skozi katero je bila sama noter prišla. Kmalu izvohajo pasjeglavci to luknjo in $ domov, je našel hčer in na klopi v kovačnici dvanajst pasjeglavcev, ki jih je",0
"še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama na njivi. $ navzgor. Tako niso mogli videti, na kateri smreki čepi skrita deklica. Bodli so torej $ Obstopili so tisto smreko in jo izruvali; tako jim je deklica prišla v pest. $ začne tako jezno renčati in brusiti kremplje, da je bilo deklico strah. Nekoč posebno $ mlada? jo nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla, $ ne bo branila. Tako je mož dejal in izginil, da deklica ni vedela ne $ to, in dvanajst jih poišče sled in teče za ubežno deklico. Medtem je bila",1
"starega dedca pred seboj. Kaj ti je mlada? jo nagovori dedec. K očetu bi $ šla, ali ne veš, da pasjeglavski grad nima vrat? reče dedec. Vem, ali jaz",1
"Malemu Jožku se je sanjalo, $ grem,« je rekla lastavica. »Ti bom vjel muho,« je silil Joško. »Jih znam sama $ »Zato ker si poreden.« »Nisem ne poreden,« se je branil Joško. »Kdo je bil $ je bil pa včeraj našeškan, kdo?« se je smejala lastavica. Joško je napravil majhno $ ve?« se je spet smejala lastavica. Zdaj je bilo pa Jošku preveč Namršil je $ so bile strašne in so postajale vedno večje ... Toda Joško je kmalu videl $ je zijalo in ga hotelo pogoltniti. In — — — Joško se je prebudil,",1
