"čakala, kaj bo. Kmalu se je privila izpod mize bela kača z lepo krono",1
"pa so božali in gladili lepega ptička. Ko se je kača najedla, je stresla",1
"glave in se spet izgubila v luknjo. Brž, ko je kača izginila, je mati",1
"je bil pri hiši tisti rod, ki je z belo kačo prijazno in lepo",1
majhne imela je in kmetica je Bila otroke. Hodila je na,1
"in je imela majhne otroke. Hodila je na polje delat, otroke pa je puščala",1
"vse pojedli, zato jih je mati hvalila, dn so pridni. Otroci pa so rekli:",1
"je z otroki. Vendar se ji je čudno zdelo, da otroci pripovedujejo o lepem",1
"krone. Dala jo je v skrinjo, kjer so imeli prejo. Ded je pozimi prejo",1
"niso bili lačni. Vselej so vse pojedli, zato jih je mati hvalila, dn so",1
"ne jemo sami, k nam hodi tudi lep ptiček jest. Mati si je mislila,",1
lepo krono na glavi ter se zvila najmlajšemu v naročje. Mati je bila vsa,1
"spet izgubila v luknjo. Brž, ko je kača izginila, je mati skočila v vežo",1
"Kdor si upa bodisi z močjo bodisi z zvijačo premagati zmaja, bo dobil ta",0
"bogato plačilo zraven. Vsa zemlja in ves kraj, kjer gospoduje zmaj, bo zmagovalčeva last,",0
"najpogumnejšega človeka je stresel mraz, če je v bližini zaslišal zmajev glas. Vendar so",0
"skupaj, ker v slogi je moč, in šli so nad zmaja. Vzamejo silnega bika",0
kavelj in se zapne v mehko meso. Zdaj zgrabi ujeti zmaj ubogo žival z,0
rajši po bližnjih hribih in gričih. Veselo prepevaje je gnal pastir svojo čredo na,1
kraju svoje življenje. Veselo petje in vriskanje zadovoljnih in brezskrbnih pastirjev se je razlegalo,1
"in odkrižati nevarnega, neusmiljenega roparja? To je bilo težko vprašanje. Poglavar je najpogumnejšemu izmed",1
"je nekaj pogumnih korenjakov, ki so šli na nevaren lov. Poglavar je namreč rekel:",1
"na noč zahajali domov, podnevi pa zaklenili njo in eno mačko; samo lino so",0
"strehe skočiti na tla. Pa vselej, ko nogo vzdigne, skoči mačka na lino in",0
"žival ne pusti, pravi ona. Zato ne pusti, ker ima mačka v repu devet",0
"devet peklenskih vragov, ki so vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in",0
"kdaj ne kam. Storila je po njegovem svetu: dala je mački mesa, ji v",0
"vedela ne kam ne kod doli po zidu, vidi kosorepo mačko počasi in klavrno",0
"drevesa, ki se je z vršičkom dotikalo strehe, in videč mačko po drevesu priti",0
